state,allocating_agency,project_name,developer,award_amount_annual_lihtc,credit_type,location,construction_type,units,award_year,award_date,data_flags,award_status,source_doc,source_count,collection_method
Alabama,Alabama Housing Finance Authority (AHFA),Ashford Gardens,"Ashford Gardens, Ltd.",1781761,9% Competitive,"Cullman, AL",New Construction,56,2025,Not Available,TDC not provided in source document. Credit type inferred as 9% Competitive based on AHFA program.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Athens Commons,"Athens Commons New, LLC",1328943,9% Competitive,"Athens, AL",Acquisition/Rehabilitation,80,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Cherry Ridge Independent Living,"Cherry Ridge Living, Ltd",903799,9% Competitive,"Birmingham (Not in City Limits), AL",Acquisition/Rehabilitation,56,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Cornerstone Place,"Alex City II Hall New Apartments, Ltd.",735877,9% Competitive,"Alexander City, AL",Acquisition/Rehabilitation,48,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Court Manor Apartments,"Court Manor, Ltd.",750180,9% Competitive,"Prattville, AL",Acquisition/Rehabilitation,44,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Demopolis Villas,"Demopolis Villas 2025, L.P.",702650,9% Competitive,"Demopolis, AL",Acquisition/Rehabilitation,51,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Eagle Ridge Place,"Dothan II Hall New Apartments, Ltd.",640201,9% Competitive,"Dothan, AL",Acquisition/Rehabilitation,40,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Garden Oaks,"Garden Oaks, Ltd.",850000,9% Competitive,"Enterprise, AL",Acquisition/Rehabilitation,48,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Hurtel Crossings,"Hurtell Crossings, LLC",2232000,9% Competitive,"Mobile, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $1,634,260 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Jasmine Trace,"Jasmine Trace Housing, LLLP",1988130,9% Competitive,"Decatur, AL",New Construction,48,2025,Not Available,"TDC not provided. Also received $2,048,395 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Lineville Estates,"Lineville Estates, Ltd",1376216,9% Competitive,"Lineville, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $2,635,000 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Maryvale Village,"Maryvale Village, Ltd.",2218140,9% Competitive,"Mobile, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $1,000,000 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Northgate Place Apartments,"Northgate Place New Apartments, Ltd.",918000,9% Competitive,"Talladega, AL",Acquisition/Rehabilitation,56,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),The Retreat at Andalusia,"The Retreat at Andalusia, Ltd.",1619498,9% Competitive,"Andalusia, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $1,650,000 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Tims Ridge,"Tims Ridge, Ltd.",1932036,9% Competitive,"Pell City, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $2,723,000 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Village at Youngsville,"Youngsville, Ltd.",2179483,9% Competitive,"Alexander City, AL",New Construction,56,2025,Not Available,"TDC not provided. Also received $1,600,000 HOME funds.",Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alabama,Alabama Housing Finance Authority (AHFA),Woodview Ridge,TC Woodview Ridge LLC,1889084,9% Competitive,"Monroeville, AL",Acquisition/Rehabilitation,96,2025,Not Available,TDC not provided in source document.,Final,alabama.9pct.awards.2025.pdf,1,PDF download from AHFA website (ahfa.com); source archived 2026-06-26
Alaska,Alaska Housing Finance Corporation (AHFC) — GOAL Program,Saxman Townhomes,Saxman Partners LLC,1100511,9% Competitive,"Saxman, AK",New Construction,20,2025,Not Available,TDC not provided in source document.,Final,alaska.lihtc.awards.2025.pdf,1,PDF download from AHFC website (ahfc.us); 2025 LIHTC Reservation List; source archived 2026-06-26
Alaska,Alaska Housing Finance Corporation (AHFC) — GOAL Program,Breezy Meadows III,"Palmer Scott Road Associates III, an Alaska Limited Partnership",1027344,9% Competitive,"Wasilla, AK",New Construction,32,2025,Not Available,TDC not provided in source document.,Final,alaska.lihtc.awards.2025.pdf,1,PDF download from AHFC website (ahfc.us); 2025 LIHTC Reservation List; source archived 2026-06-26
Alaska,Alaska Housing Finance Corporation (AHFC) — GOAL Program,Baxter Family Housing,Cook Inlet Housing Authority,775845,9% Competitive,"Anchorage, AK",New Construction,24,2025,Not Available,TDC not provided in source document.,Final,alaska.lihtc.awards.2025.pdf,1,PDF download from AHFC website (ahfc.us); 2025 LIHTC Reservation List; source archived 2026-06-26
Alaska,Alaska Housing Finance Corporation (AHFC) — GOAL Program,Valdez Affordable Housing,Alaska Corporation for Affordable Housing,663948,4% Non-Competitive,"Valdez, AK",New Construction,20,2025,Not Available,TDC not provided. Has project-based rental subsidies.,Final,alaska.lihtc.awards.2025.pdf,1,PDF download from AHFC website (ahfc.us); 2025 LIHTC Reservation List; source archived 2026-06-26
Alaska,Alaska Housing Finance Corporation (AHFC) — GOAL Program,Ketchikan PSH,Ketchikan Indian Community,603088,4% Non-Competitive,"Ketchikan, AK",New Construction,28,2025,Not Available,TDC not provided. PSH = Permanent Supportive Housing.,Final,alaska.lihtc.awards.2025.pdf,1,PDF download from AHFC website (ahfc.us); 2025 LIHTC Reservation List; source archived 2026-06-26
