"Project Name",City,"Total Housing Units","Local partners",Sponsor,"Tax Credit units","Unit type","Allocation amount","Allocation type","Allocation year"
"Cambrian Building H - Rental",Burlington,40,"Champlain Housing Trust",Evernorth,40,"New construction","$817,691","Tax Exempt Bonds",2025
"East Creek Commons",Rutland,35,"Housing Trust of Rutland County",,35,"New construction, Rehabilitation, Acquisition","$535,941","Tax Exempt Bonds",2025
Hedding-Church-Forest,Randolph,32,"Randolph Area Community Development Corp.",,32,"New construction, Rehabilitation, Acquisition","$651,515","Tax Exempt Bonds",2025
"Arlington Village Center",Arlington,30,"Shires Housing",Evernorth,30,Rehabilitation,"$408,325","Tax Exempt Bonds",2025
"Whitcomb Woods","Essex Junction",64,"Cathedral Square Corp.",,64,Rehabilitation,"$359,055","Tax Exempt Bonds",2025
"Cambrian Building H - Rental",Burlington,40,"Champlain Housing Trust",Evernorth,40,"New construction","$20,000",State,2025
"East Creek Commons",Rutland,35,"Housing Trust of Rutland County",,35,"New construction, Rehabilitation, Acquisition","$105,000",State,2025
Hedding-Church-Forest,Randolph,32,"Randolph Area Community Development Corp.",,32,"New construction, Rehabilitation, Acquisition","$160,000",State,2025
"Arlington Village Center",Arlington,30,"Shires Housing",Evernorth,30,Rehabilitation,"$90,000",State,2025
"Whitcomb Woods","Essex Junction",64,"Cathedral Square Corp.",,64,Rehabilitation,"$25,000",State,2025
"133 Forest Street",Rutland,30,"Housing Trust of Rutland County",Evernorth,24,"New construction","$751,802",Federal,2025
"Stonecrop Meadow",Middlebury,35,"Green Mountain Development Group","Green Mountain Development Group",22,"New construction","$1,060,000",Federal,2025
"Packard Court","St. Johnsbury",30,RuralEdge,Evernorth,24,"New construction","$1,055,000",Federal,2025
"Post Apartments",Burlington,38,"Champlain Housing Trust",Evernorth,30,"New construction","$757,051","Tax Exempt Bonds",2024
"Post Apartments",Burlington,38,"Champlain Housing Trust",Evernorth,30,"New construction","$103,000",State,2024
"Marsh House",Waterbury,26,"Downstreet Housing and Community Development",Evernorth,20,"New construction","$930,000",Federal,2024
Mellishwood,Woodstock,39,"Twin Pines Housing Trust",,37,"New construction, Rehabilitation, Acquisition","$1,060,661",Federal,2024
"Marble Village","West Rutland",24,"Housing Trust of Rutland County",Evernorth,18,"New construction","$958,000",Federal,2024
"Alice Holway Drive",Putney,25,"Windham and Windsor Housing Trust",Evernorth,19,"New construction","$997,500",Federal,2024
"Fox Run",Berlin,30,"Downstreet Housing and Community Development",Evernorth,24,"New construction","$704,550",Federal,2024
"Bardwell House and Lake Street Apartments",Rutland,106,"Champlain Steele",,106,Rehabilitation,"$778,121","Tax Exempt Bonds",2023
"Burkland Lane (West Burke Housing)","West Burke",23,RuralEdge,Evernorth,23,"New construction","$289,000","Tax Exempt Bonds",2023
"Zephyr Place",Williston,72,"Champlain Housing Trust",Evernorth,64,Rehabilitation,"$430,010","Tax Exempt Bonds",2023
"Clark Canal Phelps",Brattleboro,26,"Windham and Windsor Housing Trust","Windham and Windsor Housing Trust",21,Rehabilitation,"$259,500","Tax Exempt Bonds",2023
"Fort Apartments",Winooski,65,"Champlain Housing Trust",Evernorth,50,Rehabilitation,"$217,289","Tax Exempt Bonds",2023
"Gordon Lane",Morrisville,25,"Lamoille Housing Partnership",Evernorth,16,"New construction","$326,291","Tax Exempt Bonds",2023
"Norton House",Bennington,9,"Shires Housing","Shires Housing",9,Rehabilitation,"$161,081","Tax Exempt Bonds",2023
"Randolph House",Randolph,48,"Randolph Area Community Development Corp.",,48,"Rehabilitation, Acquisition","$508,664","Tax Exempt Bonds",2023
"Waterside Apartments",Burlington,40,"Champlain Housing Trust",,32,Rehabilitation,"$298,658","Tax Exempt Bonds",2023
"Wells River Historic Housing",Newbury,29,"Downstreet Housing and Community Development",Evernorth,25,Rehabilitation,"$191,471","Tax Exempt Bonds",2023
"Salisbury Square II",Randolph,12,"Randolph Area Community Development Corp.",,12,"New construction","$259,354","Tax Exempt Bonds",2023
"Salisbury Square II",Randolph,12,"Randolph Area Community Development Corp.",,12,"New construction","$100,000",State,2023
"Reid Commons","St. Albans",33,"Cathedral Square Corp.",,28,"New construction","$560,000","Tax Exempt Bonds",2023
"Reid Commons","St. Albans",33,"Cathedral Square Corp.",,28,"New construction","$52,000",State,2023
"Kelley's Field II",Hinesburg,24,"Cathedral Square Corp.",Evernorth,22,"New construction","$135,000",State,2023
"Mahoney Grove",Rutland,22,"Green Mountain Development Group","Green Mountain Development Group",22,"Rehabilitation, Acquisition","$349,817","Tax Exempt Bonds",2023
"Mahoney Grove",Rutland,22,"Green Mountain Development Group","Green Mountain Development Group",22,"Rehabilitation, Acquisition","$115,000",State,2023
"Salisbury Square II",Randolph,12,"Randolph Area Community Development Corp.",,12,"New construction","$50,000",State,2023
"Bay Ridge Rental",Shelburne,68,"Champlain Housing Trust",Evernorth,58,"New construction, Rehabilitation","$200,000",State,2023
"Little Creek",Vergennes,55,"Addison County Community Trust",Evernorth,52,Rehabilitation,"$50,000",State,2023
"Summit at O'Brien Farms - Lot 10","South Burlington",47,"Green Mountain Development Group",,39,"New construction","$115,000",State,2023
"Riverwalk (Prospect Street)",Hartford,42,"Twin Pines Housing Trust",Evernorth,30,"New construction","$892,500",Federal,2023
"O'Brien Farms - Lot 11","South Burlington",47,"Green Mountain Development Group",,32,"New construction","$518,022",Federal,2023
"Central and Main Apartments",Windsor,30,"Windham and Windsor Housing Trust",Evernorth,23,"New construction","$897,625",Federal,2023
"Woodlawn Station",Manchester,27,"Shires Housing",,25,"Rehabilitation, Acquisition","$207,873","Tax Exempt Bonds",2022
"Whitney Hill",Williston,44,"Cathedral Square Corp.",Evernorth,37,"New construction, Rehabilitation, Acquisition","$244,160","Tax Exempt Bonds",2022
"Dover Place","South Burlington",43,"Dover Place Investments, LLC","Dover Place Investments, LLC",43,"New construction","$453,820","Tax Exempt Bonds",2022
"Randolph House",Randolph,48,"Randolph Area Community Development Corp.",,48,"Rehabilitation, Acquisition","$150,000",State,2022
"Tuttle Block",Rutland,16,"Rutland County Community Land Trust",Evernorth,16,Rehabilitation,"$80,000",State,2022
"Clark Canal Phelps",Brattleboro,26,"Windham and Windsor Housing Trust","Windham and Windsor Housing Trust",21,Rehabilitation,"$20,000",State,2022
"O'Brien Farms - Lot 11","South Burlington",47,"Green Mountain Development Group",,32,"New construction","$447,978",Federal,2022
"Village Center",Morrisville,30,"Lamoille Housing Partnership",Evernorth,24,"New construction","$515,486",Federal,2022
"Stuart Ave",Colchester,36,"Champlain Housing Trust",Evernorth,24,"New construction","$765,000",Federal,2022
"Firehouse Apts",Bristol,20,"Addison County Community Trust",Evernorth,15,"New construction","$518,500",Federal,2022
"Bayview Crossing","South Hero",30,"Cathedral Square Corp.","Cathedral Square Corp.",24,"New construction","$23,702",Federal,2022
"Burkland Lane (West Burke Housing)","West Burke",23,RuralEdge,Evernorth,23,"New construction","$25,000",State,2022
"Wells River Historic Housing",Newbury,29,"Downstreet Housing and Community Development",Evernorth,25,Rehabilitation,"$55,000",State,2022
"Bellows Falls Garage","Bellows Falls",26,"Windham and Windsor Housing Trust","Windham and Windsor Housing Trust",20,"New construction","$720,500",Federal,2022
"Village Center",Morrisville,30,"Lamoille Housing Partnership",Evernorth,24,"New construction","$78,514",Federal,2021
"Bayview Crossing","South Hero",30,"Cathedral Square Corp.","Cathedral Square Corp.",24,"New construction","$735,498",Federal,2021
"Wentworth Community Housing II","White River Junction",21,"Twin Pines Housing Trust",Evernorth,16,"New construction","$494,500",Federal,2021
"Wells River Historic Housing",Newbury,29,"Downstreet Housing and Community Development",Evernorth,25,Rehabilitation,"$70,000",State,2021
"Red Clover II",Brattleboro,18,"Brattleboro Housing Authority",Evernorth,13,"New construction","$393,750",Federal,2021
"Parc Terrace",Winooski,46,"Green Mountain Development Group","Green Mountain Development Group",33,"New construction","$925,000",Federal,2021
"Norton House",Bennington,9,"Shires Housing","Shires Housing",9,Rehabilitation,"$150,000",State,2021
"Lincoln Place",Rutland,19,"Housing Trust of Rutland County","Housing Trust of Rutland County",19,Rehabilitation,"$418,000",Federal,2021
"Dover Place","South Burlington",43,"Dover Place Investments, LLC","Dover Place Investments, LLC",43,"New construction","$50,000",State,2021
